Hero,Carry,Mid,Offlane,Support,Hard Support
Abaddon,3,1,4,5,4
Alchemist,5,3,2,3,1
Ancient Apparition,2,3,1,4,5
Anti-Mage,4,2,2,1,1
Arc Warden,3,4,2,1,1
Axe,2,2,5,2,1
Bane,2,5,2,4,5
Batrider,1,5,2,3,4
Beastmaster,2,3,5,2,1
Bloodseeker,5,2,3,2,1
Bounty Hunter,3,3,4,5,2
Brewmaster,3,3,5,2,1
Bristleback,3,2,5,1,1
Broodmother,1,4,5,2,1
Centaur Warrunner,2,2,5,3,1
Chaos Knight,4,4,5,2,1
Chen,2,3,1,5,4
Clinkz,5,5,1,2,1
Clockwerk,1,3,3,5,3
Crystal Maiden,1,2,1,4,5
Dark Seer,1,2,3,5,2
Dark Willow,3,3,1,5,3
Dawnbreaker,2,2,4,4,2
Dazzle,1,2,1,4,5
Death Prophet,2,4,4,3,2
Disruptor,1,2,1,5,5
Doom,1,3,5,2,1
Dragon Knight,4,4,4,2,1
Drow Ranger,5,4,1,2,1
Earth Spirit,2,4,4,5,2
Earthshaker,2,3,5,4,2
Elder Titan,4,4,4,4,2
Ember Spirit,4,5,3,2,1
Enchantress,2,3,2,5,4
Enigma,1,3,4,4,2
Faceless Void,5,4,2,2,1
Grimstroke,1,2,1,5,4
Gyrocopter,3,4,3,4,3
Hoodwink,2,3,1,5,4
Huskar,3,5,5,3,1
Invoker,3,5,2,3,3
Io,1,1,1,4,5
Jakiro,1,2,2,5,5
Juggernaut,5,2,2,1,1
Keeper of the Light,1,3,1,5,4
Kunkka,2,4,5,4,1
Legion Commander,3,3,5,3,2
Leshrac,2,5,4,4,2
Lich,1,2,1,4,5
Lifestealer,5,4,4,3,1
Lina,4,4,2,3,2
Lion,1,3,1,5,5
Lone Druid,5,5,4,1,1
Luna,5,4,1,2,1
Lycan,4,5,5,2,1
Magnus,3,4,5,5,3
Marci,4,3,4,5,4
Mars,2,3,5,2,1
Medusa,5,4,3,2,1
Meepo,4,5,2,2,1
Mirana,4,4,1,5,3
Monkey King,5,5,3,2,1
Morphling,5,5,2,2,1
Muerta,5,5,2,3,1
Naga Siren,5,4,2,2,1
Nature's Prophet,3,4,2,5,4
Necrophos,1,4,4,5,2
Night Stalker,3,4,5,3,1
Nyx Assassin,1,3,1,5,4
Ogre Magi,2,3,4,5,5
Omniknight,1,2,3,5,4
Oracle,1,2,1,5,5
Outworld Destroyer,2,5,2,2,1
Pangolier,4,5,4,2,1
Phantom Assassin,5,3,1,2,1
Phantom Lancer,5,4,2,2,1
Phoenix,1,3,1,5,4
Primal Beast,2,3,5,3,1
Puck,2,5,1,4,3
Pudge,1,3,4,4,3
Pugna,1,2,1,4,3
Queen of Pain,2,5,1,4,2
Razor,3,4,5,3,1
Riki,5,5,1,3,2
Rubick,1,3,1,5,4
Sand King,2,3,5,4,1
Shadow Demon,1,2,2,4,3
Shadow Fiend,5,5,1,1,1
Shadow Shaman,1,1,1,5,5
Silencer,2,3,1,4,5
Skywrath Mage,1,3,1,5,4
Slardar,2,3,5,3,1
Slark,5,3,1,2,1
Snapfire,2,3,2,4,3
Sniper,4,4,1,3,1
Spectre,5,4,4,2,1
Spirit Breaker,1,2,4,4,2
Storm Spirit,3,5,1,4,1
Sven,5,4,5,4,3
Techies,1,2,1,4,3
Templar Assassin,5,4,1,2,1
Terrorblade,5,4,2,3,1
Tidehunter,1,2,5,3,1
Timbersaw,1,3,5,3,1
Tinker,1,3,1,3,1
Tiny,2,3,4,3,2
Treant Protector,1,1,3,4,4
Troll Warlord,5,3,2,2,1
Tusk,3,3,4,4,3
Underlord,2,4,5,3,1
Undying,1,3,4,4,2
Ursa,5,4,2,2,1
Vengeful Spirit,2,3,3,4,5
Venomancer,1,2,1,4,5
Viper,5,4,4,2,1
Visage,2,5,4,2,1
Void Spirit,3,5,4,2,1
Warlock,1,1,2,5,4
Weaver,5,4,1,2,1
Windranger,5,5,2,4,4
Winter Wyvern,2,3,1,5,4
Witch Doctor,1,2,1,4,5
Wraith King,4,3,3,1,1
Zeus,2,5,1,4,2
Kez,5,4,2,2,1
Ringmaster,1,2,2,4,3
